,Unnamed: 0,Crop Type,Planting Date,Weather Conditions,Soil Characteristics,Firtilizer Usage(kgs/arce),Crop Yield (bushels/acre)
253,181,Soybeans,June 1st,"Sunny, warm, humid",Sandy loam,45.359237,40.0000
254,402,Pumpkins,June 1st,"Rainy, cool, wet",Clay loam,45.359237,40.0000
255,440,Pumpkins,June 1st,"Sunny, warm, humid",Sandy loam,54.4310844,150.0000
256,138,Maize,June 1st,"Sunny, warm, humid",Silt loam,45.359237,30.0000
257,444,Cucumbers,June 1st,"Rainy, cool, wet",Clay loam,45.359237,150.0000
258,128,Maize,June 1st,"Sunny, warm, dry",Clay loam,54.4310844,40.0000
259,446,Potatoes,June 1st,"Sunny, warm, humid",Silt loam,54.4310844,30.0000
260,125,Pumpkins,June 1st,"Sunny, warm, dry",Clay loam,68.0388555,40.0000
261,113,Maize,June 1st,"Rainy, cool, wet",Clay loam,54.4310844,150.0000
262,112,Peppers,June 1st,"Rainy, cool, wet",Clay loam,68.0388555,30.0000
263,106,Squash,June 1st,"Rainy, cool, wet",Sandy loam,68.0388555,30.0000
264,102,Potatoes,June 1st,"Sunny, warm, humid",Silt loam,54.4310844,150.0000
265,83,Squash,June 1st,"Sunny, warm, dry",Clay loam,45.359237,40.0000
266,77,Sugar Beans,June 1st,"Sunny, warm, dry",Sandy loam,68.0388555,30.0000
267,76,Soybeans,June 1st,"Sunny, warm, dry",Silt loam,45.359237,40.0000
268,141,Tomatoes,June 1st,"Rainy, cool, wet",Sandy loam,45.359237,150.0000
269,62,Soybeans,June 1st,"Sunny, warm, humid",Sandy loam,45.359237,150.0000
270,54,Peppers,June 1st,"Sunny, warm, dry",Sandy loam,45.359237,40.0000
271,475,Soybeans,June 1st,"Rainy, cool, wet",Clay loam,45.359237,40.0000
272,40,Sugar Beans,June 1st,"Sunny, warm, humid",Sandy loam,45.359237,40.0000
273,39,Wheat,June 1st,"Sunny, warm, humid",Silt loam,54.4310844,150.0000
274,37,Cucumbers,June 1st,"Sunny, warm, humid",Silt loam,54.4310844,40.0000
275,477,Wheat,June 1st,"Sunny, warm, humid",Clay loam,54.4310844,40.0000
276,34,Potatoes,June 1st,"Sunny, warm, dry",Clay loam,68.0388555,40.0000
277,28,Cucumbers,June 1st,"Sunny, warm, dry",Clay loam,45.359237,30.0000
278,479,Peppers,June 1st,"Sunny, warm, humid",Silt loam,68.0388555,30.0000
279,489,Potatoes,June 1st,"Rainy, cool, wet",Sandy loam,54.4310844,40.0000
280,4,Squash,June 1st,"Rainy, cool, wet",Sandy loam,68.0388555,30.0000
281,3,Cucumbers,June 1st,"Rainy, cool, wet",Silt loam,54.4310844,40.0000
282,497,Sugar Beans,June 1st,"Sunny, warm, dry",Sandy loam,45.359237,30.0000
283,56,Soybeans,June 1st,"Sunny, warm, humid",Clay loam,54.4310844,30.0000
284,143,Tomatoes,June 1st,"Rainy, cool, wet",Sandy loam,68.0388555,40.0000
285,111,Squash,June 1st,"Sunny, warm, dry",Sandy loam,54.4310844,30.0000
286,430,Pumpkins,June 1st,"Sunny, warm, dry",Sandy loam,45.359237,40.0000
287,184,Wheat,June 1st,"Sunny, warm, humid",Clay loam,68.0388555,40.0000
288,163,Soybeans,June 1st,"Rainy, cool, wet",Silt loam,54.4310844,150.0000
289,415,Potatoes,June 1st,"Rainy, cool, wet",Sandy loam,45.359237,40.0000
290,173,Squash,June 1st,"Sunny, warm, humid",Silt loam,54.4310844,30.0000
291,223,Squash,June 1st,"Sunny, warm, dry",Clay loam,54.4310844,40.0000
292,227,Cucumbers,June 1st,"Sunny, warm, dry",Clay loam,54.4310844,40.0000
293,148,Sugar Beans,June 1st,"Sunny, warm, humid",Sandy loam,45.359237,30.0000
294,417,Cucumbers,June 1st,"Sunny, warm, humid",Silt loam,54.4310844,40.0000
295,408,Pumpkins,June 1st,"Sunny, warm, dry",Sandy loam,45.359237,150.0000
296,166,Potatoes,June 1st,"Sunny, warm, dry",Silt loam,54.4310844,40.0000
297,161,Wheat,June 1st,"Rainy, cool, wet",Sandy loam,68.0388555,150.0000
298,265,Pumpkins,May 15th,"Sunny, warm, dry",Silt loam,54.4310844,150.0000
299,46,Sugar Beans,May 15th,"Rainy, cool, wet",Silt loam,45.359237,150.0000
300,146,Cucumbers,May 15th,"Rainy, cool, wet",Sandy loam,54.4310844,150.0000
301,211,Wheat,May 15th,"Sunny, warm, humid",Sandy loam,68.0388555,150.0000
302,336,Tomatoes,May 15th,"Sunny, warm, humid",Clay loam,68.0388555,30.0000
303,196,Tomatoes,May 15th,"Rainy, cool, wet",Sandy loam,68.0388555,30.0000
304,57,Squash,May 15th,"Rainy, cool, wet",Silt loam,68.0388555,30.0000
305,472,Peppers,May 15th,"Sunny, warm, dry",Silt loam,45.359237,30.0000
306,63,Maize,May 15th,"Sunny, warm, dry",Clay loam,54.4310844,40.0000
307,47,Potatoes,May 15th,"Sunny, warm, dry",Silt loam,45.359237,30.0000
308,51,Squash,May 15th,"Sunny, warm, humid",Clay loam,45.359237,150.0000
309,218,Squash,May 15th,"Rainy, cool, wet",Sandy loam,68.0388555,40.0000
310,470,Sugar Beans,May 15th,"Sunny, warm, dry",Sandy loam,68.0388555,150.0000
311,27,Peppers,May 15th,"Rainy, cool, wet",Sandy loam,68.0388555,150.0000
312,226,Wheat,May 15th,"Sunny, warm, dry",Sandy loam,54.4310844,150.0000
313,24,Potatoes,May 15th,"Sunny, warm, humid",Clay loam,54.4310844,30.0000
314,21,Cucumbers,May 15th,"Rainy, cool, wet",Silt loam,45.359237,30.0000
